<rne_pdf>
@   idx          name                   axis       1              2             3              4             5             6             7            8             9            10             11            12            13             14             15            16            17            18             19           20            21            22             23            24             25            26             27            28            29             30             31            32             33            34            35             36            37            38            39             40             41            42            43             44            45            46             47            48            49            50            51             52            53            54            55            56            57            58            59             60            61            62            63             64           65            66            67             68             69            70            71             72            73            74            75           76              77            78            79            80            81             82            83            84             85             86             87           88            89           90           91             92           93            94            95           96            97            98            99            100           
#   6            西洱河电厂             x_axis     0.04500        0.05788       0.07076        0.08364       0.09652       0.10939       0.12227      0.13515       0.14803      0.16091        0.17379       0.18667       0.19955        0.21242        0.22530       0.23818       0.25106       0.26394        0.27682      0.28970       0.30258       0.31545        0.32833       0.34121        0.35409       0.36697        0.37985       0.39273       0.40561        0.41848        0.43136       0.44424        0.45712       0.47000       0.48288        0.49576       0.50864       0.52152       0.53439        0.54727        0.56015       0.57303       0.58591        0.59879       0.61167       0.62455        0.63742       0.65030       0.66318       0.67606       0.68894        0.70182       0.71470       0.72758       0.74045       0.75333       0.76621       0.77909       0.79197        0.80485       0.81773       0.83061       0.84348        0.85636      0.86924       0.88212       0.89500        0.90788        0.92076       0.93364       0.94652        0.95939       0.97227       0.98515       0.99803      1.01091         1.02379       1.03667       1.04955       1.06242       1.07530        1.08818       1.10106       1.11394        1.12682        1.13970        1.15258      1.16545       1.17833      1.19121      1.20409        1.21697      1.22985       1.24273       1.25561      1.26848       1.28136       1.29424       1.30712       1.32000       
#   6            西洱河电厂             y_axis     0.16176        4.04412       0.00000        0.00000       0.00000       0.16176       0.00000      0.00000       0.32353      0.80882        0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000       0.00000        0.00000      0.00000       0.00000       0.00000        0.00000       0.00000        0.00000       0.00000        0.00000       0.00000       0.00000        0.00000        0.00000       0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.16176       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000      0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000      1.29412         0.00000       0.00000       0.00000       1.61765       0.80882        0.00000       0.48529       0.32353        0.80882        0.64706        1.61765      0.48529       2.10294      2.26471      3.39706        12.13235     17.30882      17.95588      6.95588      0.16176       0.32353       0.16176       0.64706       0.48529       
#   7            大寨电厂               x_axis     0.00000        0.00000       0.00000        0.00000       0.00000       0.00000       0.00000      0.00000       0.00000      0.00000        0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000       0.00000        0.00000      0.00000       0.00000       0.00000        0.00000       0.00000        0.00000       0.00000        0.00000       0.00000       0.00000        0.00000        0.00000       0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000      0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000      0.00000         0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000        0.00000        0.00000        0.00000      0.00000       0.00000      0.00000      0.00000        0.00000      0.00000       0.00000       0.00000      0.00000       0.00000       0.00000       0.00000       0.00000       
#   7            大寨电厂               y_axis     0.00000        0.00000       0.00000        0.00000       0.00000       0.00000       0.00000      0.00000       0.00000      0.00000        0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000       0.00000        0.00000      0.00000       0.00000       0.00000        0.00000       0.00000        0.00000       0.00000        0.00000       0.00000       0.00000        0.00000        0.00000       0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000      0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000      0.00000         0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000        0.00000        0.00000        0.00000      0.00000       0.00000      0.00000      0.00000        0.00000      0.00000       0.00000       0.00000      0.00000       0.00000       0.00000       0.00000       0.00000       
#   8            徐村电厂               x_axis     0.00000        0.00578       0.01156        0.01733       0.02311       0.02889       0.03467      0.04044       0.04622      0.05200        0.05778       0.06356       0.06933        0.07511        0.08089       0.08667       0.09244       0.09822        0.10400      0.10978       0.11556       0.12133        0.12711       0.13289        0.13867       0.14444        0.15022       0.15600       0.16178        0.16756        0.17333       0.17911        0.18489       0.19067       0.19644        0.20222       0.20800       0.21378       0.21956        0.22533        0.23111       0.23689       0.24267        0.24844       0.25422       0.26000        0.26578       0.27156       0.27733       0.28311       0.28889        0.29467       0.30044       0.30622       0.31200       0.31778       0.32356       0.32933       0.33511        0.34089       0.34667       0.35244       0.35822        0.36400      0.36978       0.37556       0.38133        0.38711        0.39289       0.39867       0.40444        0.41022       0.41600       0.42178       0.42756      0.43333         0.43911       0.44489       0.45067       0.45644       0.46222        0.46800       0.47378       0.47956        0.48533        0.49111        0.49689      0.50267       0.50844      0.51422      0.52000        0.52578      0.53156       0.53733       0.54311      0.54889       0.55467       0.56044       0.56622       0.57200       
#   8            徐村电厂               y_axis     22.71635       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000      0.00000       0.00000      0.00000        0.36058       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000       0.00000        0.00000      0.00000       0.00000       0.00000        0.00000       0.00000        0.00000       0.00000        0.00000       0.00000       0.36058        0.00000        0.00000       0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000        0.36058       0.00000       0.00000        0.36058       19.83173      42.54807       1.08173       0.00000       3.24519       39.30288      19.83173       0.36058       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000      0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000      0.00000         0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000        0.00000        0.00000        0.36058      3.24519       5.40865      0.36058      4.68750        2.16346      0.00000       0.00000       0.00000      0.00000       0.00000       0.36058       3.96635       2.16346       
#   9            绿水河电厂             x_axis     0.41300        0.41326       0.41353        0.41379       0.41405       0.41431       0.41458      0.41484       0.41510      0.41536        0.41563       0.41589       0.41615        0.41641        0.41668       0.41694       0.41720       0.41746        0.41773      0.41799       0.41825       0.41852        0.41878       0.41904        0.41930       0.41957        0.41983       0.42009       0.42035        0.42062        0.42088       0.42114        0.42140       0.42167       0.42193        0.42219       0.42245       0.42272       0.42298        0.42324        0.42351       0.42377       0.42403        0.42429       0.42456       0.42482        0.42508       0.42534       0.42561       0.42587       0.42613        0.42639       0.42666       0.42692       0.42718       0.42744       0.42771       0.42797       0.42823        0.42849       0.42876       0.42902       0.42928        0.42955      0.42981       0.43007       0.43033        0.43060        0.43086       0.43112       0.43138        0.43165       0.43191       0.43217       0.43243      0.43270         0.43296       0.43322       0.43348       0.43375       0.43401        0.43427       0.43454       0.43480        0.43506        0.43532        0.43559      0.43585       0.43611      0.43637      0.43664        0.43690      0.43716       0.43742       0.43769      0.43795       0.43821       0.43847       0.43874       0.43900       
#   9            绿水河电厂             y_axis     7.93269        0.00000       0.00000        0.00000       0.00000       0.00000       0.00000      0.00000       31.73074     0.00000        0.00000       0.00000       126.92297      0.00000        0.00000       0.00000       23.79806      0.00000        0.00000      0.00000       0.00000       0.00000        0.00000       15.86537       0.00000       0.00000        0.00000       7.93269       0.00000        0.00000        0.00000       1300.96039     0.00000       0.00000       0.00000        7.93269       0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       63.46148       0.00000       0.00000       0.00000        230.04787     0.00000       0.00000       0.00000       309.37473      0.00000       0.00000       0.00000       31.73074      0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       47.59611      0.00000        0.00000      0.00000       55.52880      0.00000        0.00000        0.00000       87.25954      0.00000        0.00000       0.00000       245.91325     0.00000      0.00000         0.00000       134.85565     0.00000       0.00000       142.78834      0.00000       0.00000       0.00000        55.52880       0.00000        0.00000      0.00000       7.93269      0.00000      0.00000        0.00000      7.93269       0.00000       0.00000      0.00000       7.93269       0.00000       0.00000       856.73002     
#   10           柴石滩电厂             x_axis     0.00000        0.00213       0.00426        0.00639       0.00853       0.01066       0.01279      0.01492       0.01705      0.01918        0.02131       0.02344       0.02558        0.02771        0.02984       0.03197       0.03410       0.03623        0.03836      0.04049       0.04263       0.04476        0.04689       0.04902        0.05115       0.05328        0.05541       0.05755       0.05968        0.06181        0.06394       0.06607        0.06820       0.07033       0.07246        0.07460       0.07673       0.07886       0.08099        0.08312        0.08525       0.08738       0.08952        0.09165       0.09378       0.09591        0.09804       0.10017       0.10230       0.10443       0.10657        0.10870       0.11083       0.11296       0.11509       0.11722       0.11935       0.12148       0.12362        0.12575       0.12788       0.13001       0.13214        0.13427      0.13640       0.13854       0.14067        0.14280        0.14493       0.14706       0.14919        0.15132       0.15345       0.15559       0.15772      0.15985         0.16198       0.16411       0.16624       0.16837       0.17051        0.17264       0.17477       0.17690        0.17903        0.18116        0.18329      0.18542       0.18756      0.18969      0.19182        0.19395      0.19608       0.19821       0.20034      0.20247       0.20461       0.20674       0.20887       0.21100       
#   10           柴石滩电厂             y_axis     285.42655      0.00000       0.00000        0.00000       0.00000       0.00000       0.00000      0.00000       0.00000      0.00000        0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000       0.00000        0.00000      0.00000       0.00000       0.00000        0.00000       0.00000        0.00000       0.00000        0.00000       0.00000       0.00000        0.00000        0.00000       0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000      0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000      0.00000         0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.97749        4.88744        78.19905       37.14455     0.00000       0.00000      0.00000      0.00000        0.00000      0.00000       0.00000       23.45972     35.18957      0.00000       0.00000       0.97749       2.93246       
